id,language,sentence,tokenized_sentence,expression,category,indices
64,tr,O da sayıp dökmeye başladıysa gerçekten sorun büyük olmalı.,"['O', 'da', 'sayıp', 'dökmeye', 'başladıysa', 'gerçekten', 'sorun', 'büyük', 'olmalı', '.']",sayıp dökmek,idiomatic,"[2, 3]"
65,tr,Televizyonda çıkan reklamlar hep zaman öldürüyor.,"['Televizyonda', 'çıkan', 'reklamlar', 'hep', 'zaman', 'öldürüyor', '.']",zaman öldürmek,idiomatic,"[4, 5]"
66,tr,Yer verdiğin hususların altını da çizer misin?,"['Yer', 'verdiğin', 'hususların', 'altını', 'da', 'çizer', 'misin', '?']",yer vermek,idiomatic,"[0, 1]"
67,tr,"Yola çık, karşı köye var ve beni bekle","['Yola', 'çık', ',', 'karşı', 'köye', 'var', 've', 'beni', 'bekle']",karşı çıkmak,literal,[-1]
68,tr,bugün parka büyük bir salıncak meydana geldi,"['bugün', 'parka', 'büyük', 'bir', 'salıncak', 'meydana', 'geldi']",meydana gelmek,literal,[-1]
69,tr,o aile bizim defterimizden bu olayla silindi biline,"['o', 'aile', 'bizim', 'defterimizden', 'bu', 'olayla', 'silindi', 'biline']",defterden silmek,literal,[-1]
70,tr,Tokalarını ortaya dökmeden önce bir saysaydın,"['Tokalarını', 'ortaya', 'dökmeden', 'önce', 'bir', 'saysaydın']",sayıp dökmek,literal,[-1]
71,tr,Bu soğuk kış gününde üstüne bir şey almadan dışarı çıkmış,"['Bu', 'soğuk', 'kış', 'gününde', 'üstüne', 'bir', 'şey', 'almadan', 'dışarı', 'çıkmış']",üstüne almak,literal,[-1]
72,tr,"Yeter be ağla ağla içini kuruttun; anladık üzgünsün, için eriyor ama toparlan biraz !","['Yeter', 'be', 'ağla', 'ağla', 'içini', 'kuruttun', ';', 'anladık', 'üzgünsün', ',', 'için', 'eriyor', 'ama', 'toparlan', 'biraz', '!']",içi erimek,idiomatic,"[10, 11]"
73,tr,Itfaiyeciler meydana geldiğinde yangın çoktan evi küle çevirmişti.,"['Itfaiyeciler', 'meydana', 'geldiğinde', 'yangın', 'çoktan', 'evi', 'küle', 'çevirmişti', '.']",meydana gelmek,literal,[-1]
74,tr,Zalime el açmamak için ne yapacağını şaşırdı.,"['Zalime', 'el', 'açmamak', 'için', 'ne', 'yapacağını', 'şaşırdı', '.']",el açmak,idiomatic,"[1, 2]"
75,tr,Üst balkondan eşya attılar.,"['Üst', 'balkondan', 'eşya', 'attılar', '.']",üstünden atmak,literal,[-1]
76,tr,Karşıdan araba sinyal vermeden çıktı dikkat et.,"['Karşıdan', 'araba', 'sinyal', 'vermeden', 'çıktı', 'dikkat', 'et', '.']",karşı çıkmak,literal,[-1]
77,tr,Ben tek siz hepiniz çıksanız da karşıma yine de kazanacağım.,"['Ben', 'tek', 'siz', 'hepiniz', 'çıksanız', 'da', 'karşıma', 'yine', 'de', 'kazanacağım', '.']",karşı çıkmak,idiomatic,"[6, 4]"
78,tr,Bu düşünceyi öne sürenler arasında bu firmanın kurucusu da vardı.,"['Bu', 'düşünceyi', 'öne', 'sürenler', 'arasında', 'bu', 'firmanın', 'kurucusu', 'da', 'vardı', '.']",öne sürmek,idiomatic,"[2, 3]"
79,tr,Aldığım bu puanlarla sıralamanın üstüne çıkmayı garantiledim,"['Aldığım', 'bu', 'puanlarla', 'sıralamanın', 'üstüne', 'çıkmayı', 'garantiledim']",üstüne almak,literal,[-1]
80,tr,Bu iş olmazsa ayvayı yeriz.,"['Bu', 'iş', 'olmazsa', 'ayvayı', 'yeriz', '.']",ayvayı yemek,idiomatic,"[3, 4]"
81,tr,Karşıdaki ağaca çıkarsan daha güzel erikler toplayabilirsin.,"['Karşıdaki', 'ağaca', 'çıkarsan', 'daha', 'güzel', 'erikler', 'toplayabilirsin', '.']",karşı çıkmak,literal,[-1]
82,tr,Ağır bir çantayı bana verdi,"['Ağır', 'bir', 'çantayı', 'bana', 'verdi']",ağırlık vermek,literal,[-1]
83,tr,"Erkeklerin mal gibi kahvede oturarak zaman öldürdüğü, kadınların 3 kuruş para kazanmak için saatlerce tarlada çalıştığı bir coğrafyada büyüyen bizlere bu romantizm fazla yavan geldi","['Erkeklerin', 'mal', 'gibi', 'kahvede', 'oturarak', 'zaman', 'öldürdüğü', ',', 'kadınların', '3', 'kuruş', 'para', 'kazanmak', 'için', 'saatlerce', 'tarlada', 'çalıştığı', 'bir', 'coğrafyada', 'büyüyen', 'bizlere', 'bu', 'romantizm', 'fazla', 'yavan', 'geldi']",zaman öldürmek,idiomatic,"[5, 6]"
84,tr,"Eriyen dondurmasını yerken, derin bir iç çekti.","['Eriyen', 'dondurmasını', 'yerken', ',', 'derin', 'bir', 'iç', 'çekti', '.']",içi erimek,literal,[-1]
85,tr,Patlayan silahın elinde açtığı yara en az 3 ayda iyileşir.,"['Patlayan', 'silahın', 'elinde', 'açtığı', 'yara', 'en', 'az', '3', 'ayda', 'iyileşir', '.']",el açmak,literal,[-1]
86,tr,Yağmurdan sonra güneş açınca meydana gökkuşağı gelir.,"['Yağmurdan', 'sonra', 'güneş', 'açınca', 'meydana', 'gökkuşağı', 'gelir', '.']",meydana gelmek,idiomatic,"[4, 6]"
87,tr,İşi yapmamak için bana bahaneler öne sürüyor.,"['İşi', 'yapmamak', 'için', 'bana', 'bahaneler', 'öne', 'sürüyor', '.']",öne sürmek,idiomatic,"[5, 6]"
88,tr,Tüm yaşamı boyunca Ege sahillerinde küçük bir yer almak için çalıştı.,"['Tüm', 'yaşamı', 'boyunca', 'Ege', 'sahillerinde', 'küçük', 'bir', 'yer', 'almak', 'için', 'çalıştı', '.']",yer almak,literal,[-1]
89,tr,"Basamağımız yapılmış, artık çıkabiliriz.","['Basamağımız', 'yapılmış', ',', 'artık', 'çıkabiliriz', '.']",basamak yapmak,literal,[-1]
90,tr,Domates kasalarını dökmeden önce say bakalım kaç tane varmış,"['Domates', 'kasalarını', 'dökmeden', 'önce', 'say', 'bakalım', 'kaç', 'tane', 'varmış']",sayıp dökmek,literal,[-1]
91,tr,Bu notların hesabını bana vermek zorundasın,"['Bu', 'notların', 'hesabını', 'bana', 'vermek', 'zorundasın']",hesap vermek,idiomatic,"[2, 4]"
92,tr,Kalemleri sayarken masadaki suyu döktü.,"['Kalemleri', 'sayarken', 'masadaki', 'suyu', 'döktü', '.']",sayıp dökmek,literal,[-1]
93,tr,Cumhuriyet’in ortaya koyduğu manayı hep birlikte anlamak mecburiyetindeyiz.,"['Cumhuriyet', '’', 'in', 'ortaya', 'koyduğu', 'manayı', 'hep', 'birlikte', 'anlamak', 'mecburiyetindeyiz', '.']",ortaya koymak,idiomatic,"[3, 4]"
94,tr,Sıkı durursan kimse seni yolundan çeviremez,"['Sıkı', 'durursan', 'kimse', 'seni', 'yolundan', 'çeviremez']",sıkı durmak,idiomatic,"[0, 1]"
95,tr,"Karşımıza çıkan sıkıcı hatalarla , bugün bizi yordun Dodo","['Karşımıza', 'çıkan', 'sıkıcı', 'hatalarla', ',', 'bugün', 'bizi', 'yordun', 'Dodo']",karşı çıkmak,literal,[-1]
96,tr,"Bu kez gerçekten ayvayı yedik.""","['Bu', 'kez', 'gerçekten', 'ayvayı', 'yedik', '.', ""''""]",ayvayı yemek,idiomatic,"[3, 4]"
97,tr,Gönlümde iz bırakanlar albümü yakında piyasaya çıkacak,"['Gönlümde', 'iz', 'bırakanlar', 'albümü', 'yakında', 'piyasaya', 'çıkacak']",iz bırakmak,idiomatic,"[1, 2]"
98,tr,radyoda en yeni şarkılar karşıma çıktı,"['radyoda', 'en', 'yeni', 'şarkılar', 'karşıma', 'çıktı']",karşı çıkmak,literal,[-1]
99,tr,"Kedinin tasması biraz sıkı duruyor, esnetsen iyi olur.","['Kedinin', 'tasması', 'biraz', 'sıkı', 'duruyor', ',', 'esnetsen', 'iyi', 'olur', '.']",sıkı durmak,literal,[-1]
100,tr,Ayşe kardeşinin karalamalarını defterinden sildi.,"['Ayşe', 'kardeşinin', 'karalamalarını', 'defterinden', 'sildi', '.']",defterden silmek,literal,[-1]
101,tr,Bütün zorluklara rağmen yeni bir işe adım attı.,"['Bütün', 'zorluklara', 'rağmen', 'yeni', 'bir', 'işe', 'adım', 'attı', '.']",adım atmak,idiomatic,"[6, 7]"
102,tr,Yerde duran kolileri sıkı sıkı bantlamamız gerekiyormuş,"['Yerde', 'duran', 'kolileri', 'sıkı', 'sıkı', 'bantlamamız', 'gerekiyormuş']",sıkı durmak,literal,[-1]
103,tr,"Zaman,kazanma zamani.","['Zaman', ',', 'kazanma', 'zamani', '.']",zaman kazanmak,literal,[-1]
104,tr,Sınav esnasında meydana gelen elektrik kesintisi bütün öğrencileri zor durumda bıraktı,"['Sınav', 'esnasında', 'meydana', 'gelen', 'elektrik', 'kesintisi', 'bütün', 'öğrencileri', 'zor', 'durumda', 'bıraktı']",meydana gelmek,idiomatic,"[2, 3]"
105,tr,Ayak izini bırakmış kumsala,"['Ayak', 'izini', 'bırakmış', 'kumsala']",iz bırakmak,literal,[-1]
106,tr,Bir zamanlar bu oyunda hep ben kazandırdım,"['Bir', 'zamanlar', 'bu', 'oyunda', 'hep', 'ben', 'kazandırdım']",zaman kazanmak,literal,[-1]
107,tr,Bu eli açmalı mı açmamalı mı?,"['Bu', 'eli', 'açmalı', 'mı', 'açmamalı', 'mı', '?']",el açmak,literal,[-1]
108,tr,sıkı duran kemerini gevşetti,"['sıkı', 'duran', 'kemerini', 'gevşetti']",sıkı durmak,literal,[-1]
109,tr,Büyük hezeyan meydana geldi,"['Büyük', 'hezeyan', 'meydana', 'geldi']",meydana gelmek,idiomatic,"[2, 3]"
110,tr,"Sıkı durun, Gondor'un işaret kuleleri yanıyor!","['Sıkı', 'durun', ',', ""Gondor'un"", 'işaret', 'kuleleri', 'yanıyor', '!']",sıkı durmak,idiomatic,"[0, 1]"
111,tr,Kaç gündür aldığı birinciliğin üstüne bu yenilgi yakışmaz,"['Kaç', 'gündür', 'aldığı', 'birinciliğin', 'üstüne', 'bu', 'yenilgi', 'yakışmaz']",üstüne almak,literal,[-1]
112,tr,Bilet sırasında yerini bu teyzeye vermek ister misin?,"['Bilet', 'sırasında', 'yerini', 'bu', 'teyzeye', 'vermek', 'ister', 'misin', '?']",yer vermek,literal,[-1]
113,tr,"Fikirlerini o kadar iyi savunuyordu ki, karşı çıkan insanlar kendilerini onu desteklerken buluyordu.","['Fikirlerini', 'o', 'kadar', 'iyi', 'savunuyordu', 'ki', ',', 'karşı', 'çıkan', 'insanlar', 'kendilerini', 'onu', 'desteklerken', 'buluyordu', '.']",karşı çıkmak,idiomatic,"[7, 8]"
114,tr,hesapları verdikten sonra kontrol etmesi için bir mühendisi görevlendirdi.,"['hesapları', 'verdikten', 'sonra', 'kontrol', 'etmesi', 'için', 'bir', 'mühendisi', 'görevlendirdi', '.']",hesap vermek,idiomatic,"[0, 1]"
115,tr,Kendini (yeniden) inşa etmek önce oturup bir masaya elimize alacağımız bir kağıt kalemle kendini tanımlamayla başlar.,"['Kendini', '(', 'yeniden', ')', 'inşa', 'etmek', 'önce', 'oturup', 'bir', 'masaya', 'elimize', 'alacağımız', 'bir', 'kağıt', 'kalemle', 'kendini', 'tanımlamayla', 'başlar', '.']",ele almak,literal,[-1]
116,tr,üst sıralara çıkmalıyım,"['üst', 'sıralara', 'çıkmalıyım']",üste çıkmak,literal,[-1]
117,tr,Bahçeye çıkan kedi karşı binanın çatısına çıkmaya çalıştı,"['Bahçeye', 'çıkan', 'kedi', 'karşı', 'binanın', 'çatısına', 'çıkmaya', 'çalıştı']",karşı çıkmak,literal,[-1]
118,tr,şampiyonluğuna karşı çıkmak için aşağıdan sigortayı kapatıp elektriği kestiler galiba,"['şampiyonluğuna', 'karşı', 'çıkmak', 'için', 'aşağıdan', 'sigortayı', 'kapatıp', 'elektriği', 'kestiler', 'galiba']",karşı çıkmak,literal,[-1]
119,tr,Elini koyduğu taş bir anda taş duvarın içine girdi ve büyük bir gürültü koptu.,"['Elini', 'koyduğu', 'taş', 'bir', 'anda', 'taş', 'duvarın', 'içine', 'girdi', 've', 'büyük', 'bir', 'gürültü', 'koptu', '.']",el koymak,literal,[-1]
120,tr,Yaptığı hata için annesine hesap verdi.,"['Yaptığı', 'hata', 'için', 'annesine', 'hesap', 'verdi', '.']",hesap vermek,idiomatic,"[4, 5]"
121,tr,Alındığını bilseydim üst üste söylemedim yap diye,"['Alındığını', 'bilseydim', 'üst', 'üste', 'söylemedim', 'yap', 'diye']",üstüne almak,literal,[-1]
122,tr,Kredi kartı hesabımın borcunu kim verecek?,"['Kredi', 'kartı', 'hesabımın', 'borcunu', 'kim', 'verecek', '?']",hesap vermek,literal,[-1]
123,tr,film gösterimi sonrası insanların yüzünde gülümse meydana geldi,"['film', 'gösterimi', 'sonrası', 'insanların', 'yüzünde', 'gülümse', 'meydana', 'geldi']",meydana gelmek,idiomatic,"[6, 7]"
124,tr,"Bulaşık yıkarken boşa dökülen suyun, kaç yıllık kuraklığa çözüm olabileceğini sayılması isterdim.","['Bulaşık', 'yıkarken', 'boşa', 'dökülen', 'suyun', ',', 'kaç', 'yıllık', 'kuraklığa', 'çözüm', 'olabileceğini', 'sayılması', 'isterdim', '.']",sayıp dökmek,literal,[-1]
125,tr,Tüm bu olayların yolunu açan yine sizin yaklaşımlarınız.,"['Tüm', 'bu', 'olayların', 'yolunu', 'açan', 'yine', 'sizin', 'yaklaşımlarınız', '.']",yol açmak,idiomatic,"[3, 4]"
126,tr,Çam ağacının üstüne aldığım renkli ışıkları asacağım,"['Çam', 'ağacının', 'üstüne', 'aldığım', 'renkli', 'ışıkları', 'asacağım']",üstüne almak,literal,[-1]
127,tr,"Masada elma ve ayva vardı, ben ayvayı yedim","['Masada', 'elma', 've', 'ayva', 'vardı', ',', 'ben', 'ayvayı', 'yedim']",ayvayı yemek,literal,[-1]
128,tr,Her zaman kazanmak isteyen oyuncularla olmalıyız.,"['Her', 'zaman', 'kazanmak', 'isteyen', 'oyuncularla', 'olmalıyız', '.']",zaman kazanmak,literal,[-1]
129,tr,Bir de bana karşı mı çıkacakmış?,"['Bir', 'de', 'bana', 'karşı', 'mı', 'çıkacakmış', '?']",karşı çıkmak,idiomatic,"[3, 5]"
